"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2023-0071","陕西","延安","延安市公安局采购无人机反制枪及租赁无人机反制阵地项目","侦测反制服务/租赁","中标/成交结果","是","延安市公安局","202.0000 万元","202.0","西安宇航者创新科技有限公司","2023-03-17","2023","A-官方公告/公共资源","完整","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610601/gpx-bidcore/2023/3/17/8a69c883865ceb1d0186eecd493c4bad.pdf?accessCode=e0771c16fa46abf11b4fd6cbb9a6e929","陕西政府采购PDF披露：采购无人机反制枪及租赁无人机反制阵地，中标供应商西安宇航者创新科技有限公司，中标总价2020000元。","漏检补充；阵地租赁/活动保障能力项目","无人机反制枪；无人机反制阵地租赁","便携/手持反制设备；服务/租赁","无人机反制枪：公开信息未披露；无人机反制阵地租赁：1项服务","公开信息未披露","公开信息未披露","部分明细","项目名称披露设备名称；数量未披露；项目名称披露阵地租赁；按项目服务包口径","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2023-0140","陕西","西安","西安市公安局4G无人机侦测反制设备采购项目","侦测反制装备","中标/成交结果","是","西安市公安局（本级）","41.5000 万元","41.5","北京瑞达恩科技股份有限公司","2023-06-09","2023","A-官方公告/公共资源","完整","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610101/gpx-bidcore/2023/6/9/8a69c9318844861201889f17dfae3f55.pdf?accessCode=cc4f1dda7e0ed63045957911cd1e5379","陕西省政府采购网中标（成交）结果公告显示：西安市公安局4G无人机侦测反制设备采购项目，北京瑞达恩科技股份有限公司中标，金额41.5万元；主要标的信息为无线电反制设备，品牌瑞达恩，型号RDN-428，数量1项。","竞品驱动补充；直中标案例","无线电反制设备","侦测反制装备/设备","无线电反制设备：1项","无线电反制设备：RDN-428","无线电反制设备：瑞达恩","明细较完整","陕西省政府采购网中标（成交）结果公告主要标的信息","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0072","陕西","陕西省","购买 无人机反制设备 ( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","待复核","https://shaanxi.bidizhaobiao.com/info-717597249.html","购买 无人机反制设备 ( 中标公告 )-陕西招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:陕西省 项目类别:物资 采购方式:询价 我部对购买 无人机 ... shaanxi.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0073","陕西","石泉","石泉县公安局无人机反制设备采购项目中标（成交）结果公告","侦测反制服务/租赁","合同公告","是","石泉县公安局","16.8800 万元","16.88","公开信息未披露","2025年09月30日","2025","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202509/t20250930_25447729.htm","石泉县公安局 无人机反制设备 采购项目 中标 (成交)结果 公告 2025年9月30日 - 合同包号 合同包名称 代理服务费金额(万元) 收取对象 1 石泉县公安局 无人机反制设备 采购项目 0.3 中标 (成交)供应商 七、 公告 期限.石泉县公安局无... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0074","陕西","未识别","无人机反制设备采购结果公告（2025-JKFDLB-W3023）","侦测反制装备","中标/成交结果","是","公开信息未披露","26.4900 万元","26.49","天津云翔无人机科技有限公司","2025年12月17日","2025","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/495198984b24e40eaabd.html","公开转载结果公告显示：项目名称为无人机反制设备采购，项目编号2025-JKFDLB-W3023，第一名天津云翔无人机科技有限公司，最终报价264900元。","修正：原省内城市区域误取供应商所在地“天津”，改为未识别；补入公开摘要披露的第一名供应商和报价","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0075","陕西","铜川","铜川市公安局无人机反制设备采购项目","侦测反制装备","合同公告","是","铜川市公安局","公开信息未披露","","北京历正科技有限责任公司","2025-11-27","2025","A-官方公告/公共资源","较完整","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/ZF_JGBM_000003/610201/2025/11/27/8a69c6d69aa4903f019abde646f72230/gpx-bidconfirm/8a69c5549a644c2c019b347948ff3a9a.pdf?accessCode=4866108c672b419e9b624d67ca946cd0","陕西政府采购合同/结果附件披露：铜川市公安局无人机反制设备采购项目，供应商北京历正科技有限责任公司。","人工核验补充","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0076","陕西","未识别","无人机反制 设备项目( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","38800.00 (元)","","北京中宇万通科技股份有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://shaanxi.bidizhaobiao.com/info-729987342.html","无人机反制 设备项目( 中标公告 )-陕西招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 :.第一名:北京中宇万通科技股份有限公司 ,报价形式:总价 ,报价 金额 :38800.00 (元) ;. 供应商 对预中标(成交)结果如有异议,应当自... shaanxi.bidizhaobiao.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[陕西]","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0077","陕西","西安","******","侦测反制装备","中标/成交结果","是","公开信息未披露","91.6500 万元","91.65","公开信息未披露","2025年09月23日","2025","B-公开转载/行业平台","较完整","https://www.chinamae.com/purchases/c19cea9e9971d343612d7ae4fe77f8a3.html","无人机反制 设备采购中标( 成交 )结果公示 2025年9月19日 - 五、预中标( 成交 )供应商. 名称 :*有限公司,报价 金额 916,500.00元;地址:西安曲江新区慈恩西路8号。. 供应商 对预中标( 成交 )结果如有异议,应当自本公示期限... www.chinamae.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[陕西]","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0078","陕西","西安咸阳","西安咸阳国际机场股份有限公司无人机反制车租赁项目","侦测反制服务/租赁","中标/成交结果","是","西安咸阳国际机场股份有限公司","公开信息未披露","","公开信息未披露","2026年1月5日","2026","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-398824934-4.html","采招网转载结果公示显示：西安咸阳国际机场股份有限公司无人机反制车租赁项目，发布时间2026年1月5日；公开摘要未披露中标单位和金额。","修正：原承建中标单位字段误入“中国采招网于2026年01月05日发布...”平台发布语，已改为公开信息未披露","无人机反制车","系统平台/管控软件","无人机反制车：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
